[53.640549, -1.330249]
[51.492485, -0.18642]
[53.397863, -1.548582]
[53.672613, -1.354378]
[57.636583, -2.00327]


[55.476965, -4.615949]
[53.698629, -1.508059]
[51.967641, 1.344597]
[55.866189, -4.286453]
[53.48447, -2.298916]
[53.373565, -3.00792]
[55.709462, -3.903331]
[53.500681, -1.061085]
[51.501994, -0.100301]

[53.594978, -2.543138]
[53.867048, -2.411439]
[52.840364, -1.34494]
[51.533695, -0.471476]
[57.567827, -4.432219]
[55.818281, -4.23645]
[52.958416, -0.030895]
[50.410712, -4.239643]
[51.547141, 0.136646]
[51.698364, -1.693658]
[52.240347, -0.8584]
[51.081217, 1.163775]
[52.641077, -1.159357]
[51.31478, 0.860513]

[52.95279, -1.144943]
[52.902575, -2.039274]
[54.106354, -0.181839]
[50.969191, -1.358669]
[51.513196, -0.09758]
[51.487418, -3.200054]
[53.594978, -2.543138]
[52.546868, -0.276469]
[55.944782, -3.038976]
[52.487993, -1.891927]
[51.087366, -0.74247]
[51.453972, 0.053474]
[51.359282, -0.532634]
[52.472509, -1.896157]
[53.368812, -1.467297]
[52.687265, 1.278241]
[55.856634, -4.256573]
[53.476806, -2.598902]
[51.575897, 0.198605]

[50.817292, -1.165048]
[52.409383, -1.510019]
[51.639395, -3.048754]
[51.839783, -2.212042]
[50.725221, -1.892547]
[50.869854, -3.447484]
[51.484028, -0.947151]
[53.447384, -2.336968]
[54.961993, -1.452027]
[51.599481, -0.017217]
[51.544149, -0.135751]
[51.769808, -0.749021]
[55.438725, -4.248611]
[51.228179, 0.695815]
[52.584163, 1.695404]
[50.839785, 0.476138]
[54.576025, -5.998588]
[51.524336, -0.125764]
[51.513746, -0.142984]
[53.404693, -2.327089]
[51.478164, -0.122434]
[52.03864, 1.122059]
[53.371289, -1.322265]

[51.41579, -1.329488]
[51.58993, -0.058924]

[51.502591, -0.188189]

[53.793146, -3.054758]
[52.39346, -2.242356]
[56.096845, -3.3713]
[53.48447, -2.298916]
[51.397725, -0.455368]
[52.871003, -1.076678]
[54.923107, -1.489347]
[57.144829, -2.104316]

[51.566076, -3.012112]
[53.311488, -4.649878]
[56.478946, -2.954733]
[51.528536, -0.172232]
[55.813833, -4.171069]
[53.567568, -0.576456]
[53.28939, -2.137629]
[51.45487, -0.902337]
[51.77793, -1.272097]
[55.174798, -1.542117]
[57.636562, -2.003235]
[53.537378, -2.659822]
[50.38169, -4.140493]

[51.418735, 0.076272]
[55.863993, -3.074648]
[54.571919, -5.92023]
[53.684792, -1.796499]
[51.698178, -2.369055]
[56.466344, -3.045829]

[53.716858, -1.486393]
[52.59774, -1.130692]
[52.959194, -1.156589]
[52.915559, -1.293728]

[51.450597, -2.611764]

[53.992208, -1.055612]
[55.862287, -4.278466]
[54.459903, -5.827519]
[52.240347, -0.8584]
[52.253917, -0.880514]
[53.785922, -0.431501]
[53.261167, -1.907382]
[51.347918, -2.101428]
[51.756467, -3.376962]
[52.552475, -2.015626]

[57.483885, -4.175976]
[52.901331, -2.895091]
[53.791112, -1.251162]
[51.333605, -1.766371]
[52.781617, -1.576973]
[54.684144, -6.139846]
[52.240347, -0.8584]

[53.521643, -0.094701]
[51.494533, -0.210885]
[50.792563, -1.084254]
[55.881519, -3.774596]
[54.885006, -2.944191]

[52.633603, 1.298805]
[51.750067, 0.077845]
[55.597389, -4.456414]
[52.403857, -1.562497]
[53.625897, -2.440366]
[51.340933, -2.246969]
[55.000413, -1.719749]

[52.496538, 1.718002]

[53.456503, -2.32563]
[51.473888, 0.326784]
[50.824433, -0.364157]
[54.018731, -1.073018]
[56.127708, -3.194229]
[51.293119, -0.143953]
[50.405144, -5.053816]
[51.292936, -0.351187]
[52.978328, -2.193047]


[51.65128, -3.136374]
[52.9014, -0.632153]
[51.43585, 0.115204]

[51.698328, -1.693457]
[52.353037, 0.497703]
[55.916307, -3.226757]
[52.427282, -1.526271]
[50.853538, -0.175391]
[50.863548, -1.205625]

[53.826623, -1.595371]
[55.492619, -4.59592]
[51.221081, -0.733594]
[53.692154, -1.289367]
[51.422114, -0.378066]
[51.501104, 0.326772]
[54.978955, -1.390617]
[53.488551, -2.244285]
[52.473861, -1.921715]
[51.365946, -0.266853]
[51.506848, -0.116717]
[51.31478, 0.860513]

[51.451039, -1.032212]

[53.259983, -1.450668]
[51.333607, -1.766375]
[51.643963, 0.423627]
[53.484446, -2.29894]
[51.524122, -0.076299]
